,Feature,Selected
0,Open,True
1,High,True
2,Low,True
3,Close,True
4,Adj Close,True
5,Volume,False
6,Daily_Returns,False
7,Log_Volume,False
8,Day,False
9,Month,False
10,Year,False
11,Weekday,False
12,Quarter,False
13,WeekOfYear,False
14,Is_Trading_Day,False
15,Month_Sin,False
16,Month_Cos,False
17,Weekday_Sin,False
18,SMA_5,True
19,EMA_5,True
20,volatility_5,False
21,Price_Position_5,False
22,Volume_SMA_5,False
23,Volume_Ratio_5,False
24,SMA_10,True
25,EMA_10,False
26,volatility_10,False
27,Price_Position_10,False
28,Volume_SMA_10,False
29,Volume_Ratio_10,False
30,SMA_20,True
31,EMA_20,True
32,volatility_20,False
33,Price_Position_20,False
34,Volume_SMA_20,False
35,Volume_Ratio_20,False
36,SMA_50,True
37,EMA_50,True
38,volatility_50,False
39,Price_Position_50,False
40,Volume_SMA_50,False
41,Volume_Ratio_50,False
42,RSI_14,False
43,MACD,False
44,MACD_Signal,False
45,MACD_Hist,False
46,BB_Upper,True
47,BB_Middle,True
48,BB_Lower,False
49,ROC_10,False
50,ADX_14,False
51,CCI_14,False
52,OBV,True
53,Close_Lag_1,True
54,Close_Lag_2,True
55,Close_Lag_3,True
56,Close_Lag_5,True
57,Close_Lag_10,False
58,Volume_Lag_1,False
59,Volume_Lag_2,False
60,Volume_Lag_3,False
61,Volume_Lag_5,False
62,Volume_Lag_10,False
63,Volume_Price_Ratio,False
64,Target_Close_1d,False
65,Target_Return_1d,False
